Date,Total_Q1,Total_Q2A,Total_Q3A,Total_Q4A,Total_Q5A,Total_Q6A,Total_Q7A,Total_Q8,Total_Q9,Semi_Q1,Semi_Q2A,Semi_Q3A,Semi_Q4A,Semi_Q5A,Semi_Q6A,Semi_Q7A,Semi_Q8,Semi_Q9,NonD_Q1,NonD_Q2A,NonD_Q3A,NonD_Q4A,NonD_Q5A,NonD_Q6A,NonD_Q7A,NonD_Q8,NonD_Q9,Durables_Q1,Durables_Q2A,Durables_Q3A,Durables_Q4A,Durables_Q5A,Durables_Q6A,Durables_Q7A,Durables_Q8,Durables_Q9,WC_Q1,WC_Q2A,WC_Q3A,WC_Q4A,WC_Q5A,WC_Q6A,WC_Q7A,WC_Q8,WC_Q9,GP_Q1,GP_Q2A,GP_Q3A,GP_Q4A,GP_Q5A,GP_Q6A,GP_Q7A,GP_Q8,GP_Q9,KZN_Q1,KZN_Q2A,KZN_Q3A,KZN_Q4A,KZN_Q5A,KZN_Q6A,KZN_Q7A,KZN_Q8,KZN_Q9
1992/06/30,7,2,-5,7,-22,14,15,9,1,4,-30,14,22,1,10,1,16,17,0,0,-22,-35,-41,-1,-14,0,-12,-6,14,-10,-8,-45,11,23,-1,-4,0,0,24,22,0,0,-4,6,11,-8,4,-1,-4,-12,1,3,17,-30,-3,0,0,-1,1,12,10,1,-2
1992/09/30,7,2,-5,7,-22,14,15,9,1,4,-30,14,22,1,10,1,16,17,0,0,-22,-35,-41,-1,-14,0,-12,-6,14,-10,-8,-45,11,23,-1,-4,0,0,24,22,0,0,-4,6,11,-8,4,-1,-4,-12,1,3,17,-30,-3,0,0,-1,1,12,10,1,-2
1992/12/31,7,2,-5,7,-22,14,15,9,1,4,-30,14,22,1,10,1,16,17,0,0,-22,-35,-41,-1,-14,0,-12,-6,14,-10,-8,-45,11,23,-1,-4,0,0,24,22,0,0,-4,6,11,-8,4,-1,-4,-12,1,3,17,-30,-3,0,0,-1,1,12,10,1,-2
1993/03/31,7,2,-5,7,-22,14,15,9,1,4,-30,14,22,1,10,1,16,17,0,0,-22,-35,-41,-1,-14,0,-12,-6,14,-10,-8,-45,11,23,-1,-4,0,0,24,22,0,0,-4,6,11,-8,4,-1,-4,-12,1,3,17,-30,-3,0,0,-1,1,12,10,1,-2
1993/06/30,7,2,-5,7,-22,14,15,9,1,4,-30,14,22,1,10,1,16,17,0,0,-22,-35,-41,-1,-14,0,-12,-6,14,-10,-8,-45,11,23,-1,-4,0,0,24,22,0,0,-4,6,11,-8,4,-1,-4,-12,1,3,17,-30,-3,0,0,-1,1,12,10,1,-2
1993/09/30,7,2,-5,7,-22,14,15,9,1,4,-30,14,22,1,10,1,16,17,0,0,-22,-35,-41,-1,-14,0,-12,-6,14,-10,-8,-45,11,23,-1,-4,0,0,24,22,0,0,-4,6,11,-8,4,-1,-4,-12,1,3,17,-30,-3,0,0,-1,1,12,10,1,-2
1993/12/31,7,2,-5,7,-22,14,15,9,1,4,-30,14,22,1,10,1,16,17,0,0,-22,-35,-41,-1,-14,0,-12,-6,14,-10,-8,-45,11,23,-1,-4,0,0,24,22,0,0,-4,6,11,-8,4,-1,-4,-12,1,3,17,-30,-3,0,0,-1,1,12,10,1,-2
1994/03/31,7,2,-5,7,-22,14,15,9,1,4,-30,14,22,1,10,1,16,17,0,0,-22,-35,-41,-1,-14,0,-12,-6,14,-10,-8,-45,11,23,-1,-4,0,0,24,22,0,0,-4,6,11,-8,4,-1,-4,-12,1,3,17,-30,-3,0,0,-1,1,12,10,1,-2
1994/06/30,7,2,-5,7,-22,14,15,9,1,4,-30,14,22,1,10,1,16,17,0,0,-22,-35,-41,-1,-14,0,-12,-6,14,-10,-8,-45,11,23,-1,-4,0,0,24,22,0,0,-4,6,11,-8,4,-1,-4,-12,1,3,17,-30,-3,0,0,-1,1,12,10,1,-2
1994/09/30,7,2,-5,7,-22,14,15,9,1,4,-30,14,22,1,10,1,16,17,0,0,-22,-35,-41,-1,-14,0,-12,-6,14,-10,-8,-45,11,23,-1,-4,0,0,24,22,0,0,-4,6,11,-8,4,-1,-4,-12,1,3,17,-30,-3,0,0,-1,1,12,10,1,-2
1994/12/31,7,2,-5,7,-22,14,15,9,1,4,-30,14,22,1,10,1,16,17,0,0,-22,-35,-41,-1,-14,0,-12,-6,14,-10,-8,-45,11,23,-1,-4,0,0,24,22,0,0,-4,6,11,-8,4,-1,-4,-12,1,3,17,-30,-3,0,0,-1,1,12,10,1,-2
1995/03/31,7,2,-5,7,-22,14,15,9,1,4,-30,14,22,1,10,1,16,17,0,0,-22,-35,-41,-1,-14,0,-12,-6,14,-10,-8,-45,11,23,-1,-4,0,0,24,22,0,0,-4,6,11,-8,4,-1,-4,-12,1,3,17,-30,-3,0,0,-1,1,12,10,1,-2
1995/06/30,7,2,-5,7,-22,14,15,9,1,4,-30,14,22,1,10,1,16,17,0,0,-22,-35,-41,-1,-14,0,-12,-6,14,-10,-8,-45,11,23,-1,-4,0,0,24,22,0,0,-4,6,11,-8,4,-1,-4,-12,1,3,17,-30,-3,0,0,-1,1,12,10,1,-2
1995/09/30,7,2,-5,7,-22,14,15,9,1,4,-30,14,22,1,10,1,16,17,0,0,-22,-35,-41,-1,-14,0,-12,-6,14,-10,-8,-45,11,23,-1,-4,0,0,24,22,0,0,-4,6,11,-8,4,-1,-4,-12,1,3,17,-30,-3,0,0,-1,1,12,10,1,-2
1995/12/31,7,2,-5,7,-22,14,15,9,1,4,-30,14,22,1,10,1,16,17,0,0,-22,-35,-41,-1,-14,0,-12,-6,14,-10,-8,-45,11,23,-1,-4,0,0,24,22,0,0,-4,6,11,-8,4,-1,-4,-12,1,3,17,-30,-3,0,0,-1,1,12,10,1,-2
1996/03/31,7,2,-5,7,-22,14,15,9,1,4,-30,14,22,1,10,1,16,17,0,0,-22,-35,-41,-1,-14,0,-12,-6,14,-10,-8,-45,11,23,-1,-4,0,0,24,22,0,0,-4,6,11,-8,4,-1,-4,-12,1,3,17,-30,-3,0,0,-1,1,12,10,1,-2
1996/06/30,7,2,-5,7,-22,14,15,9,1,4,-30,14,22,1,10,1,16,17,0,0,-22,-35,-41,-1,-14,0,-12,-6,14,-10,-8,-45,11,23,-1,-4,0,0,24,22,0,0,-4,6,11,-8,4,-1,-4,-12,1,3,17,-30,-3,0,0,-1,1,12,10,1,-2
1996/09/30,7,2,-5,7,-22,14,15,9,1,4,-30,14,22,1,10,1,16,17,0,0,-22,-35,-41,-1,-14,0,-12,-6,14,-10,-8,-45,11,23,-1,-4,0,0,24,22,0,0,-4,6,11,-8,4,-1,-4,-12,1,3,17,-30,-3,0,0,-1,1,12,10,1,-2
1996/12/31,7,2,-5,7,-22,14,15,9,1,4,-30,14,22,1,10,1,16,17,0,0,-22,-35,-41,-1,-14,0,-12,-6,14,-10,-8,-45,11,23,-1,-4,0,0,24,22,0,0,-4,6,11,-8,4,-1,-4,-12,1,3,17,-30,-3,0,0,-1,1,12,10,1,-2
1997/03/31,7,2,-5,7,-22,14,15,9,1,4,-30,14,22,1,10,1,16,17,0,0,-22,-35,-41,-1,-14,0,-12,-6,14,-10,-8,-45,11,23,-1,-4,0,0,24,22,0,0,-4,6,11,-8,4,-1,-4,-12,1,3,17,-30,-3,0,0,-1,1,12,10,1,-2
